Agency,Portfolio,Glossary Type,Num Terms,Methods,Glossary URLs
Department of Foreign Affairs and Trade,Foreign Affairs and Trade,one,65,paragraph,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24/abbreviations-and-acronyms
Department of Health and Aged Care,Health and Aged Care,both,139,table,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/glossary | https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Department of Home Affairs,Home Affairs,both,178,table,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/glossary | https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/abbreviations-and-acronyms
"Department of Industry, Science and Resources","Industry, Science and Resources",one,87,table,https://www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24/chapter-5%3A-appendices/abbreviations-and-acronyms
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure, Transport, Regional Development, Communications and the Arts",both,105,table,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/glossary | https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Department of Parliamentary Services,Parliamentary Departments (not a portfolio),both,37,table,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/glossary | https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/acronyms-and-abbreviations
Department of Social Services,Social Services,one,92,paragraph,https://www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report/part-6---appendices-and-index/appendix-g-glossary-of-abbreviations-and-acronyms
Department of Veterans' Affairs,Veterans' Affairs,one,41,paragraph,https://www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24/08-aids-to-access/acronyms-and-abbreviations
Department of the House of Representatives,Parliamentary Departments (not a portfolio),one,50,table,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24/abbreviations-and-acronyms
Department of the Senate,Parliamentary Departments (not a portfolio),one,23,table,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24/references/glossary-and-abbreviations-list
