Portfolio,Entity,Annual Report Url,Type of Glossary,Glossary Url,Entity Website
Treasury,australian reinsurance pool corporation,https:/www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/acronyms-and-abbreviations,http://www.arpc.gov.au
"Climate Change, Energy, the Environment and Water",australian renewable energy agency,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24/appendix-d%3A-glossary,http://arena.gov.au/
Education,australian research council,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/abbreviations-and-acronyms,http://www.arc.gov.au
Education,australian research council,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/glossary,http://www.arc.gov.au
Treasury,australian securities and investments commission (asic),https:/www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24/glossary,https://asic.gov.au
Home Affairs,australian security intelligence organisation,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary,http://www.asio.gov.au/
Home Affairs,australian security intelligence organisation,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms,http://www.asio.gov.au/
Defence,australian signals directorate,https:/www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,https://www.asd.gov.au/
"Education, Skills and Employment",australian skills quality authority (national vocational education and training regulator),https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/glossary,http://www.asqa.gov.au
"Education, Skills and Employment",australian skills quality authority (national vocational education and training regulator),https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/acronyms-and-abbreviations,http://www.asqa.gov.au
