Portfolio,Entity,BodyType,Url
Treasury,Office of the Auditing and Assurance Standards Board (AUASB),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24/abbreviations
Treasury,Office of the Australian Accounting Standards Board (AASB),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24/abbreviations
Health and Aged Care,Office of the Inspector-General of Aged Care,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24/appendix-4%3A-glossary
Prime Minister and Cabinet,Office of the Official Secretary to the Governor-General,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24/glossary%2C-abbreviations-and-acronyms
Treasury,Productivity Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24/abbreviations
"Agriculture, Water and the Environment",Sydney Harbour Federation Trust,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24/abbreviations-and-acronyms
"Infrastructure, Transport, Cities and Regional Development",WSA Co Ltd,Commonwealth Company,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations
"Infrastructure, Transport, Cities and Regional Development",Airservices Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/appendices/appendix-d%3A-acronyms
Prime Minister and Cabinet,Anindilyakwa Land Council,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24/part-1%3A-introduction-to-this-report/1.02-acronyms
Employment and Workplace Relations,Asbestos and Silica Safety and Eradication Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24/section-6---reference-and-index/6.1-glossary-of-abbreviations-and-acronyms
Treasury,Australian Bureau of Statistics,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/glossary
Treasury,Australian Bureau of Statistics,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/abbreviations-and-acronyms
Foreign Affairs and Trade,Australian Centre for International Agricultural Research (ACIAR),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24/part-6-reference-material/abbreviations-and-acronyms
